variant	ins_number
acidity regulator ins 341	341
acidity regulator ins 451	451
acidity regulator ins 339	339
acidity regulator ins 340	340
acidity regulator ins 503	503
acidity regulator ins 504	504
acidity regulator ins 501	501
acidity regulator ins 500	500
acidity regulator ins 330	330
acidity regulator ins 260	260
anticaking agent ins e551	551
flavour enhancer ins 6351	6351
stabilising agent ins 414	414
flavour enhancer ins 1101	1101
ammonium chloride ins 510	510
stabilising agent ins 445	445
emulsifying agent ins 412	412
stabilizing agent ins 412	412
acidity regulator ins 270	270
acidity regulator ins 196	196
acidity regulator ins 296	296
stabilising agent ins 471	471
stabilizing agent ins 471	471
stabilizing agent ins 440	440
stabilizing agent ins 401	401
acidity regulator ins 331	331
stabilising agent ins 331	331
acidity regulator ins 325	325
acidity regulator ins 334	334
magnesium stearate ins 470	470
magnesium sulphate ins 518	518
cake raising agent ins 341	341
acidity regulator ins e330	330
acidity regulator ins e260	260
antifoaming agent ins 900a	900a
acidity regulator ins e331	331
paprika oleoresin ins 160ci	160ci
acidity regulator ins 501 i	501
acidity regulator ins 500 i	500
anti-foaming agent ins 900a	900a
enzyme preparation ins 1100	1100
stabilizer guar gum ins 412	412
acidity regulator ins 350 1	350
enzyme preparation ins 1102	1102
enzyme preparation ins 1104	1104
anticaking agent ins 341 iii	341
ammonium bicarbonate ins 503	503
acidity regulator ins 500 ii	500
acidity regulator ins 331 ii	331
glucono delta lactone ins 575	575
emulsifier stabilizer ins 415	415
polyvinylpyrrolidone ins 1202	1202
flour treatment agent ins 516	516
flour treatment agent ins 510	510
flour treatment agent ins 223	223
flour treatment agent ins 223	223
croscarmellose sodium ins 468	468
polyvinylpyrrolidone ins 1202	1202
flour treatment agent ins 1101	1101
flour treatment agent ins 1100	1100
flour treatment agent ins 1102	1102
flour treatment agent ins 1104	1104
flour treatment agent ins 1223	1223
flour treatment agent ins 1223	1223
antifoaming agent dmps ins 900a	900a
anticaking agent silica ins 551	551
emulsifier soy lecithin ins 322	322
emulsifier ins 471 plant origin	471
color paprika oleoresin ins 160c	160c
emulsifier soya lecithin ins 322	322
sodium aluminium sulphate ins 521	521
mineral dough conditioner ins 223	223
gelling agent agar powder ins 406	406
acidity regulator malic acid ins 296	296
acidity regulator citric acid ins 330	330
citric acid acidity regulator ins 330	330
preservative potassium sorbate ins 202	202
stabilizer and thickener pectin ins 440	440
raising agent sodium bicarbonate ins 500	500
anticaking agent silicon dioxide ins 551	551
emulsifying and stabilising agent ins 415	415
emulsifying and stabilizing agent ins 1422	1422
leavening agent sodium bicarbonate ins 500	500
emulsifier carboxymethyl cellulose ins 466	466
acidity regulator citric acid powder ins 330	330
acetylated distarch adipate thickener ins 1422	1422
acidity regulator sodium bicarbonate ins 500 i	500
antifoaming agent dimethyl polysiloxane ins 900	900
stabilizer dipotassium hydrogen phosphate ins 340	340
stabilizer ins 466 sodium carboxymethyl cellulose	466
emulsifier mono and diglycerides of fatty acids ins 471	471
